entreprise,nom_officiel,domaine,logo
Spotify,Spotify,spotify.com,
Backmarket,Back Market,backmarket.com,
Doctolib,Doctolib,doctolib.fr,
Revolut,RevolutionEHR,revolutionehr.com,
Alan,Al-Anba Newspaper,alanba.com.kw,
Joko,JokoJokes,jokojokes.com,
Deezer,Deezer,deezer.com,
Dataiku,Dataiku,dataiku.com,
Pennylane,Pennylane,pennylane.com,
Spendesk,Spendesk,spendesk.com,
Mirakl,Mirakl,mirakl.com,
Qontto,,,
Swile,Swile,swile.co,
Trade Republic,Trade Republic,traderepublic.com,
Voodoo,Voodoo Doughnut,voodoodoughnut.com,
